,Name,Position,Age,Weight,Height,Pass Break,Intervention,Air Cannon,Shooting Percentage,Dribbling,Assists,Assists Per Game,Rust Percentage,Running Distance,Number of Matches,Classes
298,Andrew Barber,Midfielder,16,70,177,10,15,18,43,51,6,1.4,39,300,145,1
299,Charles Perez,Midfielder,29,77,195,14,10,13,32,50,17,0.1,32,500,145,1
300,Larry Santos,Midfielder,27,70,175,16,10,9,98,24,16,0.4,43,250,149,3
301,Thomas Bean,Midfielder,36,77,182,16,6,10,39,70,17,0.1,68,350,155,0
302,Jason Nguyen,Midfielder,21,70,177,15,15,8,68,24,7,1.4,43,450,145,3
303,Stephen Wood,Midfielder,27,82,195,8,10,18,32,86,17,0.1,39,250,155,1
304,Robert Lara,Midfielder,18,70,190,13,10,8,68,64,7,0.4,32,350,149,1
305,Dr. Justin Day,Midfielder,20,80,186,16,10,10,32,51,7,2.0,39,450,140,1
306,Daniel Gray,Midfielder,19,76,195,8,6,13,73,86,7,2.0,68,500,102,0
307,Patrick Smith,Midfielder,19,70,177,10,16,16,68,50,17,0.5,68,300,145,0
308,Ryan Gaines,Midfielder,27,82,195,14,16,16,43,24,3,1.0,98,500,150,0
309,Jacob Jackson,Midfielder,27,82,198,6,10,9,39,92,3,1.0,68,200,140,0
310,Travis Figueroa,Midfielder,29,76,190,14,13,13,68,86,3,1.4,59,350,149,0
311,Bryan Rodriguez,Midfielder,25,85,186,14,16,16,32,50,21,0.5,59,450,150,0
312,Erik Smith,Midfielder,17,76,182,6,14,10,73,92,21,1.4,43,200,155,1
313,Nicholas Levy,Midfielder,29,80,182,6,15,13,98,86,18,0.4,59,300,90,2
314,Adrian Brown,Midfielder,32,85,190,16,10,9,43,86,16,0.1,73,400,149,0
315,Charles Howard,Midfielder,16,85,175,15,14,9,73,64,17,0.1,32,300,149,1
316,Jason Chandler,Midfielder,16,77,177,8,8,9,32,24,17,1.4,43,350,145,3
317,Dr. Cody Mason,Midfielder,22,70,186,16,16,16,43,64,21,1.4,73,200,140,0
318,Mr. Mark Brown,Midfielder,27,77,182,14,10,9,43,51,17,0.4,59,450,140,0
319,Michael Rogers,Midfielder,17,85,175,16,6,18,59,50,18,0.1,73,200,90,0
320,Troy Alexander DDS,Midfielder,32,77,195,6,16,8,73,70,18,0.8,73,400,90,0
321,Ronald Hughes,Midfielder,27,76,190,16,6,10,39,24,16,0.4,73,300,145,3
322,Jason Sanford,Midfielder,36,79,175,13,14,16,98,70,18,0.5,73,250,155,2
323,Patrick Kirk,Midfielder,16,80,190,13,8,13,98,51,17,1.4,43,300,145,2
324,Brandon Smith,Midfielder,25,80,186,15,6,16,73,50,6,1.0,43,500,140,1
325,Matthew Ramirez,Midfielder,19,76,182,13,14,13,59,86,18,2.0,59,250,149,0
326,Kevin Robertson,Midfielder,18,82,186,13,13,18,98,50,6,2.0,32,200,145,2
327,Mr. Jonathan Carr,Midfielder,16,85,186,14,14,9,43,92,6,1.0,39,200,140,1
328,Richard Chen,Midfielder,36,77,182,6,6,18,73,92,16,1.0,73,350,102,0
329,Justin Vincent,Midfielder,21,76,182,10,16,10,73,92,21,2.0,98,500,140,0
330,Richard Wallace,Midfielder,27,76,198,10,16,16,59,86,17,1.4,43,450,102,1
331,Steven Patterson,Midfielder,36,80,190,8,6,13,39,64,16,1.4,39,300,140,1
332,Michael Joyce,Midfielder,32,79,175,14,14,18,98,70,21,1.0,59,400,102,2
333,John Houston,Midfielder,36,77,186,13,14,8,39,24,21,1.4,39,350,155,3
334,Joseph Cohen,Midfielder,29,80,177,16,10,9,43,92,18,1.4,68,450,145,0
335,Christian Manning,Midfielder,36,76,175,8,8,9,59,50,7,0.1,43,300,149,1
336,Brandon Durham,Midfielder,36,76,186,8,16,10,39,51,21,0.8,68,500,149,0
337,Terry Yates,Midfielder,18,82,190,6,14,9,32,24,21,0.1,59,400,102,3
338,Richard Terrell,Midfielder,27,76,186,8,16,13,73,92,7,0.1,59,450,102,0
339,Patrick Adams,Midfielder,22,77,177,13,8,10,73,51,3,1.4,39,400,155,1
340,Edward Vargas,Midfielder,34,85,190,16,14,9,43,50,7,1.4,32,450,102,1
341,Jeffrey Wolfe,Midfielder,22,77,175,15,6,13,73,86,7,0.4,68,350,140,0
342,James Fowler,Midfielder,19,77,175,8,16,8,59,86,21,1.4,68,200,150,0
343,Joel Snyder,Midfielder,25,80,198,16,14,13,98,92,6,0.8,32,250,150,2
344,Christopher Bird,Midfielder,19,85,186,13,14,8,68,50,3,0.1,68,350,150,0
345,Richard Morris,Midfielder,18,85,175,10,8,18,73,24,21,0.4,98,350,102,0
346,Nicholas Rivera,Midfielder,25,85,198,16,13,9,39,51,17,0.1,32,400,140,1
347,Stephen Cooley,Midfielder,20,70,177,15,10,18,73,92,7,2.0,98,250,150,0
348,Chad Gonzalez,Midfielder,22,77,186,8,8,18,43,92,18,1.0,73,300,90,0
349,Thomas Fischer,Midfielder,21,76,177,16,10,8,32,24,21,0.8,73,250,150,3
350,Dr. Mark Morrison MD,Midfielder,27,77,175,8,8,18,68,51,21,1.0,73,450,150,0
351,James Walker,Midfielder,18,85,198,8,15,18,68,86,17,0.1,68,200,149,0
352,Joe Watkins,Midfielder,29,70,195,10,15,18,39,70,16,0.8,68,200,102,0
353,John Barrera,Midfielder,25,80,190,13,15,10,73,24,16,1.4,68,200,155,3
354,Dominic Griffin,Midfielder,20,79,182,6,15,9,43,50,3,1.0,68,300,102,0
355,Sean Fisher,Midfielder,34,76,198,10,8,13,68,51,6,2.0,73,250,155,0
356,Eric Ramos,Midfielder,22,79,198,15,8,16,39,50,18,0.1,39,200,140,1
357,Darin Scott,Midfielder,16,77,177,13,6,9,98,92,17,0.5,43,450,145,2
358,David Henry,Midfielder,22,85,190,13,8,16,39,92,21,1.0,98,250,102,0
359,Carlos Jenkins,Midfielder,22,76,177,16,16,10,32,64,17,0.1,32,350,150,1
360,Herbert Brock,Midfielder,25,79,186,15,13,8,59,51,3,1.4,39,300,90,1
361,Chad Maxwell,Midfielder,17,76,198,8,6,8,39,92,7,0.4,43,200,155,1
362,Tony Livingston,Midfielder,19,70,182,16,14,9,39,92,16,1.0,59,450,150,0
363,Patrick Price,Midfielder,19,79,186,13,15,16,32,86,7,0.8,59,450,145,0
364,Shawn Bell,Midfielder,21,82,198,13,15,9,73,86,3,1.4,98,300,102,0
365,Russell Copeland,Midfielder,27,76,182,15,8,18,43,51,18,0.4,73,250,155,0
366,Thomas Brown,Midfielder,22,80,195,10,10,13,73,64,18,0.1,68,200,150,0
367,Corey Rogers,Midfielder,27,76,198,16,10,13,59,64,18,2.0,68,250,90,0
368,James Carter,Midfielder,21,82,182,14,10,13,39,50,6,1.0,39,200,90,1
369,Chad Davenport,Midfielder,27,80,195,15,14,18,43,51,18,0.5,68,250,90,0
370,Jared Diaz,Midfielder,16,70,190,10,16,9,39,86,3,0.1,43,500,150,1
371,Jose Smith,Midfielder,32,70,186,13,14,10,39,92,16,0.1,68,300,150,0
372,Michael Butler,Midfielder,19,70,190,10,14,18,43,50,16,0.1,39,250,90,1
373,Richard Moyer,Midfielder,25,85,182,10,16,10,73,92,7,1.0,68,400,145,0
374,Kenneth Long,Midfielder,18,80,195,8,16,13,32,92,7,1.0,68,350,102,0
375,Randall Harper,Midfielder,25,85,182,15,13,13,39,92,16,1.0,43,200,150,1
376,Craig Coleman,Midfielder,19,82,186,8,13,13,43,70,18,0.5,32,400,155,1
377,Terry Brewer MD,Midfielder,18,76,182,13,10,9,39,24,21,0.8,39,500,145,3
378,Jeffrey Morris,Midfielder,34,77,177,16,15,13,43,51,21,0.8,98,350,102,0
379,Luke Mora,Midfielder,32,70,177,13,16,8,98,86,6,1.0,43,350,102,2
380,Marcus Bennett,Midfielder,19,70,190,15,16,13,59,64,6,0.8,98,200,102,0
381,Joseph Mcdaniel,Midfielder,34,85,190,8,8,18,73,92,21,0.1,32,300,140,1
382,James Weaver,Midfielder,36,79,195,8,15,13,43,51,6,1.0,98,200,102,0
383,Christian Johnson,Midfielder,36,76,190,16,10,9,39,50,16,0.5,43,500,149,1
384,Matthew Moore,Midfielder,32,85,182,10,8,16,68,24,7,0.4,59,250,145,3
385,James Perez,Midfielder,20,82,182,16,6,13,43,24,18,0.5,98,500,145,0
386,Peter Hicks,Midfielder,16,70,190,16,15,18,59,92,6,1.4,59,400,150,0
387,Aaron Brooks,Midfielder,19,85,186,8,10,18,59,24,16,0.4,68,200,155,3
388,Roger Dyer,Midfielder,18,82,175,6,8,8,98,24,18,0.5,73,200,90,3
389,Joshua Reese,Midfielder,22,80,182,10,15,16,39,86,7,1.0,43,300,149,1
390,Collin Cole,Midfielder,32,79,186,10,15,9,98,92,16,0.8,98,250,150,2
391,Duane Martin,Midfielder,16,76,198,10,14,13,39,92,21,0.5,59,400,155,0
392,Jose Levine,Midfielder,20,79,177,6,6,16,59,92,7,1.4,98,250,150,0
393,Craig Lee,Midfielder,29,79,175,10,15,16,59,86,7,0.5,98,350,102,0
394,Nicholas Dickson,Midfielder,25,82,186,16,15,18,73,64,18,0.5,98,200,149,0
395,Eric Brown,Midfielder,32,77,182,14,16,10,43,64,16,0.8,98,200,102,0
396,Ronald Miller,Midfielder,29,77,186,6,10,16,73,64,7,0.8,68,450,90,0
397,David Whitaker,Midfielder,32,76,190,13,10,13,59,92,6,1.4,68,300,149,0
398,Mark Smith,Midfielder,32,70,175,8,13,8,59,24,18,1.4,43,350,145,3
399,David Gordon,Midfielder,34,79,190,16,14,13,68,92,6,1.0,73,500,149,0
400,Martin Spence,Midfielder,19,79,198,6,6,16,39,50,6,1.4,59,450,140,0
401,David Frey,Midfielder,22,85,186,10,8,10,68,51,18,1.0,32,500,90,1
402,Alex Oliver,Midfielder,32,70,175,8,6,10,73,86,17,0.4,43,400,102,1
403,Andrew Johnson,Midfielder,32,82,186,13,15,18,59,86,21,0.8,43,450,102,1
404,Casey Welch,Midfielder,34,77,198,6,6,9,68,51,16,2.0,98,250,140,0
405,Lucas Hill,Midfielder,22,76,198,14,16,18,39,64,16,1.4,68,300,102,0
406,Christopher Stark DDS,Midfielder,17,76,182,13,16,13,32,50,18,1.4,43,450,155,1
407,Hunter Hammond,Midfielder,21,76,177,6,16,16,43,51,18,1.0,98,300,150,0
408,Richard Moss,Midfielder,22,79,175,6,13,16,32,24,6,0.1,68,200,140,3
409,Richard Singh,Midfielder,16,70,182,10,14,9,68,50,7,0.8,39,200,150,1
410,Paul Herrera,Midfielder,21,76,175,10,8,18,32,50,16,0.1,43,200,145,1
411,John Montes,Midfielder,16,77,198,6,8,18,98,50,21,0.8,32,350,140,2
412,Bradley Trujillo,Midfielder,32,70,182,16,13,8,59,70,17,2.0,39,450,149,1
413,Charles Frederick,Midfielder,27,70,195,10,15,18,59,86,6,1.4,68,200,90,0
414,Brandon Wright,Midfielder,18,82,182,14,13,9,98,24,21,0.1,32,450,102,3
415,Dr. Kelly Simmons DDS,Midfielder,22,76,177,10,14,13,73,64,18,1.0,98,250,90,0
416,Luis Montoya,Midfielder,21,79,195,8,6,10,73,64,6,1.0,43,200,90,1
417,John Hamilton,Midfielder,34,79,198,13,13,8,59,51,21,0.5,43,250,150,1
418,Christopher Gomez,Midfielder,17,82,195,14,13,18,43,92,21,0.5,32,450,140,1
419,Kevin Randolph,Midfielder,29,77,175,8,14,18,32,24,7,2.0,43,400,155,3
420,Patrick Webster,Midfielder,21,77,175,13,16,8,73,86,3,0.5,98,500,90,0
421,Edward Wood,Midfielder,32,70,190,6,8,10,39,64,18,1.4,59,400,90,0
422,Nicholas Cook,Midfielder,20,85,195,8,15,16,43,64,21,1.4,73,250,90,0
423,Dr. Todd Lara PhD,Midfielder,25,77,190,14,10,13,39,50,21,1.4,73,200,149,0
424,Timothy Brown,Midfielder,20,80,182,15,8,8,98,70,16,0.5,68,250,102,2
425,Anthony Diaz,Midfielder,21,85,177,6,15,13,39,70,3,0.4,73,500,149,0
426,Brandon Shaw,Midfielder,20,85,198,16,10,9,59,86,7,2.0,39,500,145,1
427,Mark Nelson,Midfielder,32,85,177,16,8,10,39,92,18,0.4,98,300,145,0
428,Bradley Smith,Midfielder,18,76,182,15,8,16,68,24,18,0.1,68,200,140,3
429,Jason Wilson,Midfielder,16,77,198,10,14,9,43,24,6,0.4,73,450,150,3
430,Justin Mayer,Midfielder,22,76,177,6,14,16,39,64,18,0.4,59,250,150,0
431,Mr. Robert George,Midfielder,20,85,198,14,15,8,73,92,16,0.1,98,450,150,0
432,Nicholas Flores,Midfielder,20,76,175,16,8,16,98,51,17,0.5,98,200,90,2
433,Joshua Foster,Midfielder,36,80,198,6,16,9,43,50,17,0.8,73,350,90,0
434,Christopher Sullivan,Midfielder,32,79,175,8,15,8,43,50,16,1.4,39,450,150,1
435,Howard Keller,Midfielder,27,77,186,8,8,13,32,70,3,0.4,59,200,149,0
436,Kevin Morrison,Midfielder,19,85,177,6,6,13,98,86,3,1.0,98,300,90,2
437,Matthew Murray,Midfielder,34,82,177,15,14,13,73,86,3,0.4,32,300,102,1
438,Gerald Parker,Midfielder,19,77,198,14,14,13,32,64,7,1.0,59,200,140,0
439,Ernest Gardner,Midfielder,20,70,198,16,6,8,59,50,18,0.1,32,350,145,1
440,Jeremy Campbell,Midfielder,18,76,177,15,15,13,73,24,16,0.1,68,250,155,3
441,Sean Knight,Midfielder,29,79,195,10,6,10,73,86,6,1.4,98,250,102,0
442,Arthur Reyes,Midfielder,34,70,182,6,10,9,39,50,16,0.1,68,250,145,0
443,Edward Callahan,Midfielder,16,82,198,16,13,16,43,70,7,1.0,39,350,90,1
444,Daniel Wilkins,Midfielder,16,77,198,6,14,13,68,92,17,1.0,32,400,145,1
445,Hunter Simmons,Midfielder,17,79,175,15,10,18,39,70,6,1.0,39,350,140,1
446,Roger Parsons,Midfielder,16,82,198,10,14,13,39,92,21,2.0,32,300,90,1
447,Jorge Decker,Midfielder,29,77,198,10,14,18,73,24,6,0.8,39,450,150,3
448,Jeremy Zavala,Midfielder,32,76,177,15,14,16,32,50,6,0.5,39,500,140,1
449,Jared Vance,Midfielder,21,79,190,16,15,10,39,64,3,0.8,68,500,149,0
450,Billy Perkins,Midfielder,20,77,186,8,16,13,73,86,7,0.1,39,400,145,1
451,John Frye,Midfielder,17,77,195,10,14,16,68,86,21,1.4,39,350,149,1
452,Arthur Bradley,Midfielder,20,85,175,16,14,18,59,92,21,0.4,68,300,145,0
453,Kyle Dixon,Midfielder,25,79,190,14,15,8,98,64,7,1.4,32,350,102,2
454,Thomas Crawford,Midfielder,36,77,182,16,14,10,59,86,16,2.0,59,400,102,0
455,Christopher Brock,Midfielder,36,80,182,16,10,10,43,86,21,2.0,73,200,102,0
456,Erik Griffin,Midfielder,29,76,177,14,13,10,98,86,7,1.0,68,250,90,2
457,Matthew Smith,Midfielder,25,79,182,16,13,8,59,92,18,0.1,59,450,102,0
458,Jeffrey Cuevas,Midfielder,21,82,177,13,15,9,59,50,17,0.8,59,200,102,0
459,Jamie Lutz,Midfielder,16,82,195,10,8,18,73,24,6,0.4,98,500,155,0
460,Alexander Allen,Midfielder,29,70,177,8,6,9,73,24,17,0.1,98,200,102,0
461,Michael Benitez,Midfielder,19,82,175,8,16,9,43,50,18,0.8,68,350,150,0
462,Jeffery Greene,Midfielder,21,77,198,15,16,16,39,50,21,0.8,59,250,150,0
463,Bernard Smith,Midfielder,20,85,175,10,14,18,68,92,17,0.5,73,200,149,0
464,Roy Campbell,Midfielder,32,70,198,15,15,13,39,86,6,1.4,32,400,102,1
465,Jerry Phelps,Midfielder,16,79,198,15,8,8,98,64,16,1.0,73,350,90,2
466,James Collins,Midfielder,19,77,175,10,10,18,73,51,16,0.5,98,400,102,0
467,John Graham,Midfielder,27,70,198,6,6,16,73,92,18,0.4,68,400,149,0
468,Matthew Strong,Midfielder,21,77,175,14,10,9,68,70,6,1.4,59,400,102,0
469,Steven Richardson,Midfielder,34,77,195,16,16,8,43,51,6,0.4,39,450,102,1
470,Shawn Perry,Midfielder,22,77,182,6,10,16,68,70,17,0.5,68,350,149,0
471,Jeremy Sloan,Midfielder,17,85,186,16,13,13,68,70,21,1.0,73,450,145,0
472,Andrew Allen,Midfielder,32,76,186,10,10,10,43,50,3,0.4,98,400,149,0
473,David Boyer,Midfielder,21,70,195,15,16,8,32,86,7,1.4,43,200,155,1
474,Brian Cowan,Midfielder,27,70,198,6,16,8,59,70,18,0.1,43,350,90,1
475,Jason Brown,Midfielder,17,85,198,6,15,10,43,51,6,0.4,39,350,155,1
476,Kelly Peters,Midfielder,27,80,175,14,13,13,39,24,3,1.0,59,350,149,3
477,Eric Sims,Midfielder,22,70,190,13,10,18,68,51,16,2.0,32,200,140,1
478,Jesus Boyd,Midfielder,18,80,190,16,8,16,43,51,16,0.5,43,450,140,1
479,Justin Scott,Midfielder,16,85,177,15,14,8,68,86,16,1.0,32,400,155,1
480,David Anderson,Midfielder,32,77,175,10,15,13,59,86,16,0.8,43,200,140,1
481,Richard Gilmore,Midfielder,20,85,175,16,15,18,39,92,18,0.4,59,350,90,0
482,Jeffery Miller,Midfielder,36,77,177,15,16,9,68,64,21,2.0,39,400,140,1
483,Mr. Philip Powell,Midfielder,19,80,175,10,16,10,39,86,17,0.4,39,450,140,1
484,Christopher Hamilton,Midfielder,20,85,182,16,15,8,32,92,17,1.0,68,400,155,0
485,Thomas Padilla,Midfielder,34,85,175,13,6,13,59,51,21,0.4,43,500,90,1
486,Brad Ramos,Midfielder,21,76,177,16,13,13,59,51,21,0.4,68,300,149,0
487,Kenneth Potter,Midfielder,32,82,186,15,8,16,73,24,18,1.4,32,300,102,3
488,Michael Patel,Midfielder,18,79,182,13,14,13,98,24,6,0.4,32,250,149,3
489,Samuel Fuller,Midfielder,18,80,195,8,6,16,43,51,17,1.0,68,200,102,0
490,Michael Williams,Midfielder,25,82,177,13,6,13,73,51,17,0.5,43,500,145,1
491,Matthew Thompson,Midfielder,29,82,186,13,6,18,39,64,18,0.1,68,300,145,0
492,Mathew Bowen,Midfielder,29,79,195,14,10,10,39,86,17,2.0,98,450,90,0
493,Charles Burke,Midfielder,19,76,186,13,6,16,68,50,16,1.4,68,300,102,0
494,Larry Meyer,Midfielder,25,79,175,16,10,13,43,50,21,0.1,59,300,140,0
495,Evan White,Midfielder,19,80,177,8,16,18,98,64,16,0.1,98,250,90,2
496,Anthony Nolan,Midfielder,32,70,190,15,8,8,73,51,21,0.8,73,300,145,0
497,John Berry,Midfielder,18,80,190,6,15,13,59,24,16,0.1,98,350,145,0
498,Kyle Watts,Midfielder,34,70,190,10,13,13,73,64,3,2.0,68,350,90,0
499,Cody Yang,Midfielder,34,77,198,14,8,10,98,70,16,0.8,68,200,150,2
500,Mr. Michael Robinson,Midfielder,27,79,186,14,16,16,73,70,6,1.4,59,400,140,0
501,Kyle Delgado,Midfielder,36,80,175,16,14,13,32,86,6,1.0,73,400,150,0
502,John Foster,Midfielder,17,85,186,16,10,9,43,64,18,0.5,59,500,149,0
503,Raymond Gutierrez,Midfielder,19,80,198,14,14,13,39,51,18,1.4,68,250,155,0
504,Alexander Miller,Midfielder,32,76,190,16,15,8,43,24,16,1.4,32,400,149,3
505,Brian Hanson,Midfielder,20,82,198,8,10,9,43,51,7,0.5,32,500,149,1
506,Todd Robles,Midfielder,32,85,186,8,13,16,68,86,6,0.1,43,500,145,1
507,Eric Mccormick,Midfielder,19,79,186,8,14,8,39,92,17,0.1,98,350,149,0
508,Larry Sanchez,Midfielder,21,79,186,13,10,9,59,24,6,0.5,68,250,150,3
509,Donald Mcguire,Midfielder,25,85,195,15,6,10,32,92,21,0.1,39,400,140,1
510,Gregory Daugherty,Midfielder,29,82,190,6,10,10,68,92,6,1.0,43,250,90,1
511,Samuel Potter,Midfielder,20,80,186,8,14,8,68,50,16,1.0,39,300,149,1
512,John Cabrera,Midfielder,18,80,175,10,6,13,98,64,16,0.8,32,450,150,2
513,Jared Howard,Midfielder,25,77,190,16,13,10,98,51,18,1.4,43,400,155,2
514,Brandon Ruiz,Midfielder,19,85,177,10,16,18,32,51,6,0.5,68,250,90,0
515,Mark Goodwin,Midfielder,19,70,190,15,13,9,73,50,21,0.8,32,450,150,1
516,Kerry Schmitt,Midfielder,20,82,182,15,10,13,32,64,21,1.0,59,350,145,0
517,Alexander Mann,Midfielder,32,80,177,8,15,13,43,50,6,0.5,73,250,145,0
518,Jeffery Hunter,Midfielder,22,82,190,6,10,10,73,51,7,0.1,39,250,90,1
519,Eric Jimenez,Midfielder,21,85,198,13,6,9,39,24,17,0.1,39,450,90,3
520,Aaron Garcia,Midfielder,27,70,190,16,15,18,43,50,7,2.0,39,500,150,1
521,Dylan Mcgee,Midfielder,29,79,195,13,13,18,59,64,17,0.4,32,450,149,1
522,Dennis Wells,Midfielder,20,79,177,14,8,9,59,51,3,2.0,73,200,155,0
523,Micheal Gonzalez,Midfielder,18,76,175,14,16,8,73,70,3,0.4,39,350,145,1
524,Thomas Martinez,Midfielder,29,70,175,15,6,9,39,70,6,1.0,39,500,140,1
525,Gregory Scott,Midfielder,27,70,175,16,6,13,68,64,18,0.4,39,250,150,1
526,Juan Dickson,Midfielder,27,82,175,14,14,8,39,24,18,0.5,39,250,145,3
527,Charles Morgan,Midfielder,29,77,186,13,14,8,32,86,16,2.0,32,200,150,1
528,Jason Arroyo,Midfielder,22,85,198,8,8,13,59,92,21,2.0,32,450,150,1
529,Ryan Johnston MD,Midfielder,17,85,182,14,8,13,59,64,7,0.5,73,200,102,0
530,Joshua Wilkerson,Midfielder,20,76,186,8,8,9,73,51,6,1.0,73,350,102,0
531,Joseph Rivera,Midfielder,21,82,186,15,14,10,68,24,17,0.5,68,450,102,3
532,Dustin Berry,Midfielder,29,79,177,6,10,9,68,50,18,1.0,73,350,90,0
533,Donald Reeves,Midfielder,17,85,190,15,15,13,68,86,6,1.4,59,400,140,0
534,James Hayes,Midfielder,18,70,177,16,16,9,73,50,16,0.5,98,350,149,0
535,Richard Carpenter,Midfielder,20,70,182,8,16,10,39,70,17,0.5,59,350,140,0
536,Joel Brown,Midfielder,25,70,175,13,10,10,32,70,3,2.0,32,450,155,1
537,Logan Campbell,Midfielder,21,85,182,13,6,13,43,24,18,2.0,43,250,149,3
538,Howard King,Midfielder,29,85,182,16,8,10,39,92,6,2.0,59,300,140,0
539,Donald Edwards,Midfielder,20,76,182,8,6,16,73,50,3,1.0,73,500,90,0
540,Dale Graham,Midfielder,27,70,198,15,14,16,68,50,17,1.0,73,250,150,0
541,John Villegas,Midfielder,21,79,195,14,16,8,68,86,3,0.4,43,200,145,1
542,Kevin Odonnell,Midfielder,22,77,175,14,13,8,59,86,16,0.4,68,350,90,0
543,Jose Hodge,Midfielder,29,82,175,6,15,8,39,51,18,0.1,98,500,155,0
544,Eugene Dennis,Midfielder,25,82,177,15,14,10,59,64,21,1.4,73,500,140,0
545,Kenneth Potts,Midfielder,17,85,182,13,14,10,59,64,21,1.4,68,500,150,0
546,Jason Aguilar,Midfielder,16,85,195,6,8,9,73,24,18,1.4,32,500,150,3
547,Adam Barnett,Midfielder,16,70,175,6,8,16,39,24,6,2.0,68,500,150,3
548,Christopher Charles,Midfielder,27,77,195,6,10,18,73,70,18,0.8,68,400,149,0
549,Ian Rodgers,Midfielder,16,80,182,14,16,10,98,64,18,0.4,73,450,102,2
550,Joseph Adams,Midfielder,29,70,182,8,6,13,98,70,18,1.0,32,400,149,2
551,Michael Pennington,Midfielder,29,82,198,10,14,13,68,24,7,2.0,39,300,149,3
552,Joshua Harmon,Midfielder,16,80,177,14,8,13,59,64,16,0.4,39,450,155,1
553,Brad Haney,Midfielder,20,82,177,6,14,10,59,92,6,1.0,32,200,102,1
554,Adam Greene,Midfielder,32,70,186,6,6,8,68,64,3,1.4,68,450,145,0
555,Michael Keller,Midfielder,16,77,190,16,15,16,59,50,6,0.4,32,350,102,1
556,Mr. Bernard Edwards,Midfielder,29,85,195,16,13,9,98,70,16,0.5,32,200,149,2
557,Kyle Henson,Midfielder,27,80,186,13,16,10,59,51,16,0.8,73,300,149,0
558,Bryan Briggs,Midfielder,19,70,177,16,14,18,39,24,17,1.4,68,350,150,3
559,Richard Lopez,Midfielder,25,70,195,6,14,13,68,24,7,0.8,59,250,150,3
560,John Mcmahon,Midfielder,27,80,195,15,6,13,32,64,21,0.1,32,200,102,1
561,Ronald Zimmerman,Midfielder,27,80,175,14,16,10,39,50,21,1.0,43,300,145,1
562,Eric Keith,Midfielder,36,70,198,14,8,16,73,24,21,0.8,73,250,145,3
563,Michael Brown,Midfielder,21,77,182,14,15,16,73,70,17,0.8,68,400,90,0
564,Nathaniel Santana,Midfielder,19,80,186,8,14,13,43,50,3,0.8,32,300,140,1
565,Michael Knight,Midfielder,17,82,198,15,8,18,59,24,21,0.5,68,300,145,3
566,Michael Wood,Midfielder,17,80,186,10,14,13,73,70,3,0.8,59,350,155,0
567,Dean Wilson,Midfielder,22,70,190,15,16,9,32,50,18,2.0,73,400,145,0
568,Sean Hale,Midfielder,20,70,198,14,10,10,98,92,7,2.0,39,300,150,2
569,James Lopez,Midfielder,36,85,190,6,16,13,32,50,17,1.0,39,250,145,1
570,Bryan Willis,Midfielder,34,82,186,15,10,13,68,92,3,0.8,39,300,90,1
571,Joshua Lopez,Midfielder,21,85,198,10,8,18,43,70,18,0.4,59,250,102,0
572,Christopher Jackson,Midfielder,34,77,195,14,15,18,39,64,17,2.0,68,350,102,0
573,Gary Boone,Midfielder,17,76,182,13,10,13,68,64,16,0.4,43,250,90,1
574,James Guerra,Midfielder,19,77,186,6,10,16,98,50,7,0.5,98,500,140,2
575,Jerry Thornton,Midfielder,18,80,186,15,15,13,43,50,16,1.0,73,400,155,0
576,Jacob Medina,Midfielder,32,70,190,13,14,8,43,64,17,1.4,73,200,149,0
577,Curtis Bush,Midfielder,19,70,198,8,14,13,68,92,3,0.5,98,400,90,0
578,John Rush,Midfielder,17,80,198,13,15,18,59,70,21,1.0,43,200,140,1
579,John Scott,Midfielder,16,82,182,10,6,9,59,64,6,0.4,68,450,102,0
580,Anthony Martin,Midfielder,20,76,177,15,8,10,59,64,18,0.4,98,300,90,0
581,Kyle Richard,Midfielder,29,85,177,15,14,9,32,24,17,0.8,59,500,155,3
582,Thomas Ruiz,Midfielder,25,82,186,13,14,18,98,86,18,0.1,32,400,155,2
583,Jeremy Mccoy,Midfielder,18,76,195,14,6,16,68,50,18,0.8,73,300,150,0
584,Daniel Estrada,Midfielder,32,82,195,13,13,18,39,64,18,0.1,32,500,149,1
585,Dustin Martinez,Midfielder,19,85,186,6,10,18,98,92,16,0.5,73,500,140,2
586,Christopher Perkins,Midfielder,16,76,182,10,13,13,32,64,7,2.0,43,200,102,1
587,Travis Cook,Midfielder,27,70,186,16,16,10,68,64,3,0.1,32,400,150,1
588,Justin Smith Jr.,Midfielder,25,70,177,10,14,16,98,24,7,0.8,59,300,155,3
589,Richard Roberts,Midfielder,25,85,177,8,6,18,73,64,17,0.1,98,200,102,0
590,Gregory Williams,Midfielder,32,70,198,15,8,13,98,70,6,0.5,98,500,150,2
591,Brian Bennett DDS,Midfielder,32,85,198,6,6,16,68,50,21,1.4,68,400,90,0
592,Chad Marquez,Midfielder,19,82,182,6,16,9,98,24,3,0.1,73,400,145,3
593,Phillip Kelley,Midfielder,36,85,186,15,6,16,32,51,6,1.0,68,250,150,0
594,Marcus Alexander,Midfielder,34,70,175,14,8,18,59,86,6,0.1,43,450,90,1
595,Ronnie Blair DDS,Midfielder,27,70,182,6,16,16,98,92,3,1.0,68,250,149,2
596,Andrew Peterson,Midfielder,34,85,198,13,16,8,39,92,21,0.1,59,400,149,0
597,Douglas Molina,Midfielder,25,80,198,6,13,9,59,92,17,0.4,68,500,150,0
