,Name,Position,Age,Goal,Assist,Average Goals Per Game,Average Assits Per Game,Pass Percentage,Shooting Percentage on Goal,Playing Success,Whip a Cross,Tackle Percentage,Key Pass,Running Distance,Number of Matches,Classes
292,Thomas Stewart,Attacker,17,58,22,1.2,0.8,92,98,98,27,48,12,250,102,0
293,Mark Escobar,Attacker,27,56,13,0.5,0.8,86,39,48,35,26,5,500,155,3
294,Scott Tate,Attacker,18,42,15,1.3,0.5,92,43,30,80,48,12,450,145,1
295,Kyle Collins,Attacker,21,26,15,1.5,1.2,36,43,36,35,48,5,300,145,0
296,Chad Mclaughlin,Attacker,17,42,12,0.5,0.5,92,59,80,35,42,21,200,155,0
297,Sean Johnson,Attacker,27,49,22,0.8,1.2,64,43,30,80,86,12,200,150,1
298,James Mack,Attacker,18,39,22,0.2,0.5,64,39,52,89,60,8,450,102,1
299,Robert Fowler,Attacker,34,42,5,1.0,1.3,24,68,52,40,86,12,500,155,2
300,Keith Hall,Attacker,17,39,18,0.2,2.0,50,43,98,35,92,27,250,140,2
301,Shane Hart,Attacker,16,32,15,1.3,0.8,64,98,80,52,92,8,250,102,2
302,Dale Manning,Attacker,20,58,13,1.2,0.8,24,73,55,96,48,12,350,150,1
303,Andrew Davis,Attacker,34,58,22,1.3,1.0,51,43,80,96,60,27,250,140,1
304,Kevin Thomas,Attacker,29,32,18,1.2,1.0,51,59,55,52,60,27,200,149,0
305,Charles Castro,Attacker,17,58,12,0.8,2.0,24,43,30,35,60,15,450,140,0
306,Colin Woods,Attacker,22,26,13,1.2,2.0,86,39,55,52,60,27,250,155,3
307,Christopher Swanson,Attacker,19,32,5,0.2,0.5,51,98,30,96,86,12,200,140,1
308,Anthony Fisher,Attacker,20,58,13,0.5,1.5,36,68,48,96,60,5,200,102,1
309,Dustin Montgomery,Attacker,18,42,15,0.8,2.0,50,98,98,40,48,8,450,155,0
310,Joseph Thomas,Attacker,32,49,15,0.5,1.5,24,43,36,89,60,14,250,155,1
311,Jerry Gonzalez,Attacker,29,32,22,1.0,2.0,86,32,55,40,42,5,450,90,3
312,Jeremy Morrison,Attacker,18,58,18,1.2,1.0,50,98,98,35,92,15,500,140,2
313,John Murray,Attacker,17,58,15,1.5,1.2,64,98,55,80,48,15,450,149,1
314,Timothy Moore,Attacker,36,26,18,0.5,1.5,51,73,80,35,86,15,200,145,2
315,Gregory Allen,Attacker,36,56,22,1.5,1.5,50,98,80,27,60,8,500,150,0
316,Charles Young PhD,Attacker,19,32,15,1.3,1.3,50,59,52,27,92,14,450,150,2
317,Ryan Warren,Attacker,25,42,13,1.2,0.8,36,98,30,27,26,27,250,102,0
318,Joe Green,Attacker,29,49,18,0.5,1.3,51,32,52,27,89,15,500,150,2
319,Jesus Morales,Attacker,29,42,15,0.2,2.0,36,39,36,96,89,8,400,145,1
320,Jeffrey Goodwin MD,Attacker,19,56,9,0.8,2.0,50,39,30,89,26,12,500,155,1
321,Richard Young,Attacker,32,39,12,0.5,0.8,64,68,36,96,86,27,250,150,1
322,Eric Stephens,Attacker,36,58,22,1.3,0.5,92,59,36,89,92,27,250,150,1
323,John Ruiz,Attacker,21,39,13,0.5,1.5,24,68,52,52,48,15,250,140,0
324,Joseph Bond,Attacker,16,39,13,1.0,1.0,92,39,48,27,48,5,450,150,3
325,Michael Gardner,Attacker,27,39,13,0.8,0.5,24,43,80,80,42,21,400,145,1
326,Joel Evans,Attacker,21,26,5,1.5,2.0,24,59,80,80,42,14,500,150,1
327,Steven Ramos,Attacker,32,58,18,0.2,0.8,64,59,80,96,86,27,400,140,1
328,Jason Giles,Attacker,21,39,9,0.8,1.2,92,73,55,96,92,14,350,149,1
329,Randy Wang,Attacker,27,56,12,1.3,1.5,86,43,52,35,26,14,350,145,3
330,Dylan Lutz,Attacker,36,26,22,0.8,1.5,92,43,52,35,92,15,450,102,3
331,Harold Cook,Attacker,17,39,22,0.5,1.3,24,32,80,27,86,5,250,102,2
332,Marcus Tucker,Attacker,34,39,15,1.2,2.0,50,32,48,96,92,12,250,149,1
333,Brandon Santiago,Attacker,19,42,9,0.5,1.3,36,73,98,40,89,12,400,145,2
334,Travis Jenkins,Attacker,29,58,9,1.5,2.0,92,39,80,35,60,15,500,150,0
335,Rick Evans,Attacker,29,56,9,1.0,1.3,24,68,80,35,92,15,350,90,2
336,Keith Jackson Jr.,Attacker,21,42,22,0.2,1.0,50,68,52,35,26,5,500,149,0
337,Scott Scott,Attacker,22,42,12,0.5,1.2,51,43,80,27,60,14,300,90,0
338,Ryan Murray,Attacker,34,32,5,1.2,0.8,92,39,80,52,48,8,300,102,0
339,Michael Howard,Attacker,18,39,22,0.5,0.8,50,59,80,89,89,8,500,145,1
340,Christopher Figueroa,Attacker,19,32,9,1.3,1.3,50,73,98,40,42,15,250,155,0
341,Thomas Webb,Attacker,21,42,15,0.5,1.5,51,59,98,89,26,8,450,150,1
342,James Fischer,Attacker,19,49,22,1.5,1.0,64,43,36,89,86,8,400,140,1
343,Carl Walker,Attacker,18,58,13,1.3,1.0,50,68,30,80,42,21,200,90,1
344,Nathan Brooks,Attacker,18,39,22,1.2,1.0,24,73,80,40,89,27,250,150,2
345,Timothy Parks,Attacker,21,56,5,0.2,2.0,92,68,98,89,86,5,450,140,1
346,Michael Cochran,Attacker,36,26,15,1.5,2.0,24,73,52,89,60,5,500,149,1
347,Raymond Francis,Attacker,25,39,5,1.5,1.5,51,59,48,80,60,8,200,150,1
348,George Love,Attacker,20,56,9,0.5,0.8,86,39,36,35,26,5,400,145,3
349,Brandon Potter,Attacker,19,56,15,1.0,1.3,64,43,48,27,60,27,400,90,0
350,Jason Copeland,Attacker,34,39,12,1.3,1.5,51,43,98,80,60,15,450,140,1
351,Mr. Lawrence Davenport,Attacker,29,26,18,0.5,2.0,50,43,55,80,60,5,300,90,1
352,Allen Farmer,Attacker,17,32,5,0.8,1.5,36,68,48,80,92,8,300,140,1
353,Philip Carey,Attacker,22,49,5,0.8,0.5,86,73,98,27,48,14,300,90,0
354,Ricky Brewer,Attacker,16,49,5,0.5,0.8,92,43,52,96,86,5,350,90,1
355,Jonathan Hart,Attacker,32,39,18,1.0,1.0,92,59,30,27,26,15,350,140,3
356,John Wheeler,Attacker,29,32,5,0.2,1.5,24,73,98,52,92,5,200,90,2
357,David Brooks,Attacker,22,56,5,1.2,2.0,92,68,30,89,60,12,250,155,1
358,Edward Higgins,Attacker,20,39,13,1.5,2.0,51,32,52,80,60,8,350,155,1
359,Robert Edwards,Attacker,27,42,15,1.3,1.2,36,59,55,27,48,5,350,145,0
360,Ryan Vazquez,Attacker,21,49,15,0.2,1.2,50,68,30,80,42,14,200,90,1
361,Craig Lawson,Attacker,32,49,15,1.0,0.8,50,39,98,52,92,5,400,90,2
362,Scott Flowers,Attacker,32,49,22,1.5,2.0,50,32,52,40,86,14,350,90,2
363,Paul Quinn,Attacker,16,49,9,0.8,1.5,51,39,55,80,60,15,350,102,1
364,David Gallegos,Attacker,19,56,9,1.0,1.5,36,43,98,35,26,8,350,90,0
365,Travis Schwartz,Attacker,18,26,5,1.3,1.3,92,43,36,40,89,15,450,90,3
366,Thomas Gonzales,Attacker,29,32,5,1.3,1.0,24,98,52,35,26,27,300,150,0
367,Donald Tucker,Attacker,17,39,18,1.0,1.2,51,39,30,80,92,5,350,155,1
368,Scott Williams,Attacker,21,26,5,1.5,1.3,51,73,98,89,92,27,300,155,1
369,Brian Manning,Attacker,29,32,12,1.0,1.2,50,68,30,35,42,15,450,149,0
370,Thomas Thomas,Attacker,29,42,9,0.8,0.8,36,32,30,96,26,14,450,149,1
371,Michael Powell Jr.,Attacker,29,42,5,0.8,0.8,36,39,52,35,89,12,500,155,2
372,Brian Christensen,Attacker,20,39,12,1.2,2.0,36,98,52,35,26,12,350,140,0
373,Micheal Petersen,Attacker,25,39,18,1.3,1.2,24,43,55,52,89,14,200,102,2
374,Gregory Johnson,Attacker,20,42,5,0.2,1.5,51,32,55,96,92,5,450,150,1
375,Ryan Welch,Attacker,17,56,22,1.5,1.0,86,43,80,27,42,27,200,149,0
376,David Deleon,Attacker,22,49,18,0.8,1.5,92,39,98,27,92,27,200,140,3
377,Jesse Hudson,Attacker,16,49,13,0.5,1.3,51,68,30,40,86,12,300,149,2
378,Gregory Cox,Attacker,27,49,5,0.8,0.8,50,39,80,35,86,27,350,90,2
379,Ryan Ramos,Attacker,21,39,22,0.2,0.5,86,32,52,52,42,21,250,150,3
380,Stephen Warren,Attacker,21,56,18,0.5,0.8,64,59,52,35,86,14,300,149,2
381,Paul Bautista,Attacker,17,39,5,0.8,1.2,50,39,55,89,89,8,250,145,1
382,Jeffrey Pope,Attacker,20,58,18,0.8,0.8,36,98,36,27,86,27,400,155,2
383,Robert Hawkins,Attacker,29,58,9,0.8,1.3,24,43,36,52,42,8,200,150,0
384,Richard Butler,Attacker,36,32,22,0.5,1.2,50,98,48,80,92,27,500,145,1
385,Henry Perez,Attacker,27,49,15,1.3,1.3,24,59,48,80,92,5,450,90,1
386,Eric Gordon,Attacker,20,32,12,0.2,1.3,36,39,36,27,89,15,350,149,2
387,Joseph Gallegos,Attacker,19,58,22,1.2,1.0,86,43,55,96,86,5,200,145,1
388,Patrick Grant,Attacker,27,58,5,1.5,1.5,64,43,52,89,48,14,200,140,1
389,Austin Nunez,Attacker,21,56,12,1.3,1.2,86,59,36,27,60,21,250,145,3
390,Anthony Murphy PhD,Attacker,19,58,22,0.5,1.2,24,59,80,27,86,14,450,149,2
391,Gary Ponce,Attacker,16,56,18,1.0,1.3,36,59,55,27,26,5,200,145,0
392,Adam Clark,Attacker,34,26,5,1.0,1.2,50,98,98,96,89,12,300,140,1
393,Robert Dixon,Attacker,22,56,22,0.5,0.8,24,59,36,27,42,12,400,90,0
394,Christopher Johnson,Attacker,16,32,5,1.2,1.0,64,43,30,80,48,21,350,150,1
395,Logan Montes,Attacker,36,26,5,1.2,0.5,86,68,36,27,60,5,400,149,3
396,Raymond King,Attacker,32,58,9,1.2,1.2,36,43,80,89,89,8,400,155,1
397,Scott Hubbard,Attacker,34,58,5,1.3,0.5,24,39,30,89,60,8,350,150,1
398,Daniel Flores,Attacker,36,39,12,0.5,1.2,24,59,52,89,89,15,400,102,1
399,Andrew Brown,Attacker,19,49,22,1.2,1.2,50,32,30,80,89,27,300,150,1
400,Jared Collins,Attacker,16,58,22,1.3,1.5,64,32,48,89,48,27,350,102,1
401,Michael Carter,Attacker,34,32,13,0.5,0.5,24,59,80,27,42,5,500,149,0
402,Maxwell Ortiz,Attacker,22,58,5,0.8,2.0,51,32,52,80,26,27,500,150,1
403,Christopher Smith,Attacker,32,26,9,1.2,0.8,36,59,48,27,89,21,400,145,2
404,Matthew Fisher,Attacker,27,32,15,0.2,1.2,86,43,80,89,42,15,200,90,1
405,Robert Jones,Attacker,27,26,12,1.3,0.5,36,73,36,35,26,15,450,155,0
406,Daniel Dalton,Attacker,18,39,22,0.8,1.0,50,98,48,27,92,15,200,150,2
407,Gregory Leonard,Attacker,21,58,22,0.8,0.5,24,43,98,89,89,8,450,145,1
408,Juan Torres,Attacker,27,42,15,1.0,1.5,24,68,55,52,26,15,300,102,0
409,Ronald Nielsen,Attacker,16,58,5,0.5,0.5,50,98,36,96,60,12,250,149,1
410,Cody Hansen,Attacker,32,49,5,1.3,1.3,51,68,55,89,92,15,250,90,1
411,Christopher Tyler,Attacker,17,39,22,1.0,1.3,51,39,30,35,60,8,300,140,0
412,Mark Warren,Attacker,22,58,12,1.0,1.0,92,98,55,80,26,8,450,140,1
413,Michael Boyer,Attacker,22,39,5,1.0,1.5,64,73,55,89,86,21,200,102,1
414,Anthony Hurst,Attacker,34,49,15,1.2,0.8,50,59,36,40,48,27,400,150,0
415,Anthony Jones Jr.,Attacker,16,49,15,1.2,1.5,51,43,55,27,89,15,300,155,2
416,Stephen Brooks,Attacker,36,26,9,1.2,2.0,24,39,48,35,42,14,300,102,0
417,Bryan Bender Jr.,Attacker,21,39,12,0.5,1.5,50,43,48,52,86,14,250,90,2
418,Kevin Roberts,Attacker,22,56,15,1.5,1.5,24,39,48,80,42,14,450,140,1
419,Matthew Gomez,Attacker,17,32,9,0.2,1.5,36,98,52,89,86,12,450,149,1
420,John Holloway,Attacker,20,26,12,1.3,1.2,64,68,55,80,92,27,250,145,1
421,Randy Reese,Attacker,27,42,22,0.2,0.5,86,59,55,35,86,5,450,90,3
422,Mark Hunter,Attacker,19,26,13,1.5,2.0,86,98,48,40,26,27,250,90,3
423,Jason Perez,Attacker,19,32,9,0.8,1.5,36,43,52,52,86,21,400,140,2
424,Charles Snyder,Attacker,32,58,22,1.0,1.3,92,39,52,35,48,8,400,145,3
425,Jason Coleman,Attacker,20,56,18,0.8,0.8,92,39,48,80,26,14,500,150,1
426,Andrew Cooper,Attacker,18,56,12,1.0,0.8,86,68,98,40,26,14,300,90,0
427,Christopher Larson,Attacker,20,39,12,1.0,1.5,24,98,36,96,26,8,350,140,1
428,Mark Michael,Attacker,16,42,22,0.5,1.5,64,59,48,96,42,8,350,150,1
429,Martin Baker II,Attacker,25,42,12,0.8,0.8,51,32,55,27,60,8,400,102,0
430,Terry Obrien,Attacker,22,56,18,0.8,1.0,92,73,80,96,42,5,350,90,1
431,Scott Lawrence,Attacker,21,49,5,1.0,1.5,64,43,30,89,26,5,450,102,1
432,Aaron Hayden,Attacker,29,42,9,0.8,2.0,50,59,98,27,48,27,300,140,0
433,John Green,Attacker,27,42,9,1.2,0.8,36,73,36,35,60,5,250,140,0
434,Jeffrey Neal,Attacker,20,49,13,1.3,1.3,86,32,98,52,42,15,500,140,0
435,Jesus Kerr,Attacker,16,42,13,1.2,2.0,64,39,52,96,86,5,350,90,1
436,Karl Taylor,Attacker,16,56,22,1.3,2.0,92,43,55,40,86,15,200,145,3
437,Ian Mitchell,Attacker,19,56,5,1.2,1.0,24,39,30,27,26,12,300,90,0
438,Terry Johnson,Attacker,20,49,12,1.0,1.5,51,73,30,35,60,12,400,140,0
439,Cameron Jones,Attacker,32,49,18,0.2,0.8,64,98,98,89,89,5,250,155,1
440,Ryan Stout,Attacker,18,42,18,0.5,0.8,92,39,30,89,89,8,350,150,1
441,Richard Pitts,Attacker,27,32,9,0.5,1.3,51,59,98,80,89,14,200,145,1
442,Adam Wright,Attacker,21,58,13,1.0,1.5,36,32,55,89,60,27,300,145,1
443,Juan Lee,Attacker,19,32,12,1.5,1.3,24,39,52,52,26,14,450,90,0
444,Benjamin Austin,Attacker,29,58,13,0.8,1.0,36,59,30,89,60,21,400,145,1
445,Joseph Alvarado,Attacker,21,58,9,1.3,1.0,86,68,48,40,89,12,300,149,3
446,Mitchell Fitzgerald,Attacker,25,58,9,0.8,1.5,50,59,80,80,60,21,450,149,1
447,Alec Wagner,Attacker,20,56,15,1.2,2.0,36,73,30,40,48,12,400,90,0
448,Michael Ross,Attacker,27,49,15,1.2,0.5,64,59,30,80,42,14,400,155,1
449,Jeffrey Hooper,Attacker,20,49,5,1.5,1.0,51,32,98,35,42,21,250,149,0
450,David Walker,Attacker,16,56,13,0.2,1.2,50,73,52,40,26,12,350,150,0
451,David Garrett Jr.,Attacker,27,39,15,0.8,2.0,86,73,30,40,60,5,350,90,3
452,Richard Smith,Attacker,20,32,12,1.2,0.5,51,59,30,96,48,27,500,145,1
453,Juan Davis,Attacker,36,56,22,0.2,1.5,50,73,98,52,92,14,400,145,2
454,Benjamin Chandler,Attacker,16,32,5,0.5,0.8,86,32,55,35,26,8,500,149,3
455,Benjamin Wagner,Attacker,20,49,15,0.5,0.5,24,39,55,96,48,27,350,102,1
456,Bradley Conner,Attacker,34,58,13,0.2,2.0,36,43,98,35,86,12,500,145,2
457,Anthony Dalton,Attacker,22,56,18,0.5,0.8,24,59,52,27,92,5,200,102,2
458,Timothy Hernandez,Attacker,32,32,22,0.2,0.5,64,39,36,40,42,5,250,140,0
459,David Krueger,Attacker,32,49,9,0.5,1.3,51,68,48,52,26,5,450,140,0
460,Brian Campbell,Attacker,19,32,13,0.8,2.0,64,68,55,89,60,8,250,145,1
461,Brandon Rogers,Attacker,19,26,18,1.3,1.5,86,98,55,89,26,15,250,145,1
462,Aaron Dominguez,Attacker,22,56,12,1.5,1.0,24,59,55,96,42,12,250,102,1
463,Michael Greer,Attacker,21,49,9,1.2,2.0,51,59,98,27,89,8,300,155,2
464,Nicholas Welch,Attacker,20,56,18,0.8,1.3,86,43,55,52,26,14,400,149,3
465,Joshua Martin,Attacker,29,56,9,0.2,0.8,36,73,55,96,92,15,450,145,1
466,Phillip Pham,Attacker,21,56,13,0.2,0.8,24,39,30,96,89,21,200,145,1
467,Roger Carr,Attacker,25,58,13,1.5,2.0,36,43,55,89,42,8,400,90,1
468,Scott Johns,Attacker,36,32,15,1.3,2.0,36,32,98,27,92,15,500,145,2
469,David Collins,Attacker,36,32,5,1.5,1.5,24,59,48,40,48,8,350,145,0
470,Eric Hawkins DDS,Attacker,21,49,9,1.5,1.3,92,43,30,96,42,5,500,90,1
471,Dennis Townsend,Attacker,34,42,18,1.2,1.2,50,59,36,80,26,15,400,140,1
472,Kenneth George,Attacker,21,39,13,0.5,1.2,86,32,98,27,92,14,450,90,3
473,Jordan Carter,Attacker,20,39,18,1.0,1.2,50,73,55,40,42,12,350,155,0
474,Eric Foster,Attacker,19,26,22,1.5,2.0,24,39,48,96,60,14,450,102,1
475,Joseph Allen,Attacker,18,49,9,0.8,0.5,64,43,30,96,86,27,350,145,1
476,Ryan Walker,Attacker,16,32,22,0.5,1.5,64,68,98,96,92,5,300,102,1
477,Richard Casey,Attacker,22,58,13,0.2,1.5,36,32,55,52,48,21,200,155,0
478,Brendan Wells,Attacker,27,39,13,0.8,1.0,64,32,36,52,42,14,350,155,0
479,Nicholas Dougherty,Attacker,19,42,13,1.3,0.8,50,68,30,27,86,27,350,150,2
480,Michael Odonnell,Attacker,17,42,9,0.5,1.3,64,59,55,89,89,27,400,102,1
481,Nicholas Kane,Attacker,21,26,22,0.8,1.0,92,98,30,96,42,14,500,150,1
482,John Robertson,Attacker,20,39,18,0.5,0.5,24,39,30,35,89,8,400,150,2
483,Daniel Mason,Attacker,18,49,22,0.2,1.2,92,39,80,96,92,27,200,90,1
484,Spencer Taylor,Attacker,36,26,15,1.2,1.2,36,73,36,80,92,14,300,145,1
485,Michael Mccullough,Attacker,25,32,15,1.2,1.0,92,68,36,27,26,14,300,90,3
486,Lance Brooks,Attacker,36,58,13,1.3,1.5,92,68,55,40,48,14,500,149,3
487,Eddie Merritt,Attacker,20,56,18,0.8,0.5,24,32,48,27,48,12,250,102,0
488,Steven Bailey,Attacker,16,32,15,1.3,0.5,36,39,30,35,92,12,450,149,2
489,Douglas Wilson,Attacker,17,49,5,0.8,2.0,50,43,52,52,86,12,400,140,2
490,Michael Perez,Attacker,18,26,5,0.5,0.5,36,39,48,89,60,12,250,140,1
491,Nathan Harris,Attacker,32,49,5,1.3,1.0,51,43,80,27,48,14,250,150,0
492,Kevin Johnston,Attacker,17,58,13,1.3,2.0,64,59,80,27,92,14,500,149,2
493,Andrew Wu,Attacker,34,39,18,1.5,1.2,50,68,52,89,26,27,500,140,1
494,Andrew Lopez,Attacker,21,42,9,1.3,1.0,92,59,55,52,60,21,450,145,3
495,Derek Faulkner,Attacker,32,39,13,0.5,2.0,36,68,30,96,89,21,200,140,1
496,Cory Parks,Attacker,21,58,22,0.2,2.0,64,98,55,96,92,21,200,140,1
497,Ethan Thomas,Attacker,21,39,9,0.5,0.8,51,73,98,27,26,21,350,102,0
498,Christopher Hayes,Attacker,29,49,22,1.2,0.8,64,68,52,89,48,21,450,90,1
499,Steven Peters,Attacker,32,39,12,0.8,1.3,51,32,36,40,89,21,200,90,2
500,Matthew Hayes DVM,Attacker,22,42,9,1.3,2.0,24,68,55,80,26,14,450,140,1
501,Brian Farmer,Attacker,16,56,9,1.0,1.3,86,43,52,89,48,21,200,140,1
502,David Evans,Attacker,21,56,18,0.2,1.0,51,73,52,35,42,5,400,145,0
503,George Lucas,Attacker,19,49,22,0.8,0.5,51,32,98,80,60,14,250,145,1
504,Jacob Webb,Attacker,22,39,18,1.0,1.5,64,43,55,40,42,8,250,102,0
505,James Brown,Attacker,16,26,13,1.5,1.5,86,73,30,80,26,5,400,140,1
506,Bryan Suarez,Attacker,18,32,5,1.3,1.3,50,68,48,35,89,21,200,145,2
507,Kevin Chapman,Attacker,32,32,5,1.0,1.5,92,43,48,35,26,21,200,145,3
508,Robert Carpenter,Attacker,34,42,9,0.2,1.3,50,39,98,80,26,12,300,155,1
509,Jacob Boone,Attacker,36,32,12,0.8,1.0,36,32,30,96,89,15,200,150,1
510,Ryan Lane,Attacker,22,42,18,1.0,1.3,92,43,48,80,26,21,200,145,1
511,Nicholas Reynolds,Attacker,32,26,9,1.5,0.5,50,43,52,40,86,21,300,90,2
512,Aaron Pineda,Attacker,27,32,22,1.2,2.0,24,32,55,27,48,27,250,145,0
513,Michael Reyes,Attacker,20,56,15,0.5,0.5,36,73,98,27,60,12,300,149,0
514,David Reyes,Attacker,34,56,13,1.3,1.2,51,73,36,35,42,15,200,140,0
515,Eric Lopez,Attacker,18,39,13,1.3,2.0,36,59,55,80,48,12,400,90,1
516,Thomas Anderson,Attacker,27,56,15,0.2,2.0,36,98,30,27,86,8,250,150,2
517,Logan Mills,Attacker,32,58,15,0.2,1.2,36,32,80,89,26,21,300,90,1
518,Daniel Gregory,Attacker,17,26,15,0.8,0.8,50,59,36,40,86,15,300,155,2
519,Gary Griffith,Attacker,19,26,5,1.3,0.8,86,59,55,40,92,5,300,145,3
520,Justin Glover,Attacker,18,42,5,1.0,1.5,86,98,55,40,60,21,300,90,3
521,Taylor Burns,Attacker,27,39,9,1.2,1.3,86,73,52,96,48,12,400,145,1
522,Jose Sampson,Attacker,36,49,12,0.5,0.5,86,32,36,96,89,21,500,90,1
523,Rodney Brown,Attacker,27,56,15,1.3,2.0,64,59,98,52,26,8,400,102,0
524,Edward Adams,Attacker,36,26,18,1.0,1.2,24,43,30,89,26,27,450,150,1
525,Rodney Mason,Attacker,34,56,9,1.3,0.5,86,32,30,89,92,14,200,102,1
526,Andrew Ward,Attacker,22,39,13,1.0,1.0,24,59,55,96,86,8,500,155,1
527,Jeffrey Randall,Attacker,36,26,15,0.8,0.5,86,68,36,96,26,27,350,150,1
528,James Byrd,Attacker,20,26,13,0.8,1.5,92,59,98,27,42,21,200,90,0
529,Dennis Martinez,Attacker,22,58,13,1.3,2.0,64,73,30,96,60,15,400,150,1
530,Donald Smith,Attacker,20,49,13,0.2,1.2,50,98,98,52,42,21,400,150,0
531,Larry Cunningham,Attacker,27,32,22,1.2,2.0,50,73,52,96,26,21,250,102,1
532,David Harris,Attacker,17,56,12,0.2,1.0,50,39,98,89,48,15,200,155,1
533,Ryan Thompson,Attacker,21,42,13,1.0,0.5,64,32,55,35,86,27,500,150,2
534,Paul Copeland,Attacker,16,26,9,1.5,1.5,64,98,55,96,86,5,200,155,1
535,Joseph Steele,Attacker,25,56,15,1.3,0.5,36,68,36,80,89,8,350,90,1
536,Paul King,Attacker,21,32,9,1.3,1.0,50,32,80,52,86,12,200,149,2
537,Michael Salazar,Attacker,16,39,5,1.0,1.2,24,68,80,52,60,5,250,149,0
538,Travis Alexander,Attacker,32,42,12,0.2,1.0,92,98,30,80,86,8,500,155,1
539,Hunter Hendricks,Attacker,36,56,22,1.2,1.5,86,73,98,80,42,14,300,102,1
540,Michael Guerrero,Attacker,18,42,5,0.2,1.2,51,59,80,35,86,21,400,155,2
541,Gregory Carpenter,Attacker,21,49,12,1.5,2.0,86,59,55,89,26,5,450,90,1
542,Joshua Sweeney,Attacker,27,58,5,1.0,0.5,24,59,52,52,42,27,200,145,0
543,David Reeves,Attacker,18,49,13,1.3,1.0,24,98,52,27,92,12,400,102,2
544,Kristopher Mcgrath Jr.,Attacker,19,26,5,1.0,0.5,50,43,98,35,26,27,200,145,0
545,Craig Taylor,Attacker,32,56,5,0.2,1.2,50,32,48,40,42,27,200,150,0
546,Alejandro Hernandez,Attacker,29,39,5,0.2,1.2,92,43,55,96,86,8,500,140,1
547,Andrew Stevens,Attacker,27,32,22,1.2,0.8,64,98,52,80,42,21,350,90,1
548,Austin Edwards,Attacker,22,32,5,1.5,0.5,92,39,36,52,86,12,200,102,3
549,Richard Wilkins,Attacker,17,49,18,1.2,1.3,36,43,36,96,26,15,350,90,1
550,Alexander Garcia,Attacker,20,32,5,1.2,1.3,86,43,36,52,60,12,300,150,3
551,Brian Dixon,Attacker,18,39,9,1.5,1.2,92,43,52,89,60,21,200,155,1
552,Joseph Garrett,Attacker,32,58,5,0.2,1.3,36,68,55,89,92,14,300,90,1
553,Andrew Walker,Attacker,25,39,22,0.8,0.8,86,43,30,89,89,27,200,155,1
554,Brian Monroe,Attacker,27,32,9,1.5,1.3,24,43,36,89,26,5,300,155,1
555,Jonathan Rangel,Attacker,27,32,12,0.8,1.3,24,68,98,35,89,8,200,90,2
556,Robert Hunter,Attacker,36,56,5,1.2,0.5,86,59,55,96,86,21,400,102,1
557,Christopher Russell,Attacker,29,26,13,1.0,2.0,64,98,36,80,48,27,500,90,1
558,Julian Johnson,Attacker,18,42,12,1.0,1.2,92,73,55,27,92,14,450,140,3
559,David Rivera,Attacker,27,58,22,0.2,0.8,36,39,80,80,86,21,500,149,1
560,Robert Hall,Attacker,27,26,5,0.8,0.5,64,73,52,52,89,8,450,145,2
561,Donald Zuniga,Attacker,29,56,12,1.0,1.0,51,59,52,89,86,8,400,149,1
562,Michael Kline,Attacker,34,26,15,1.5,1.2,51,39,80,80,86,27,250,90,1
563,Joshua Allen,Attacker,16,32,9,1.0,1.0,24,32,55,40,60,14,400,145,0
564,Ruben Patel,Attacker,25,49,15,1.2,0.5,64,43,36,96,26,8,400,155,1
565,Randall Waters,Attacker,19,58,22,0.2,1.3,86,68,80,52,26,8,350,149,0
566,Grant Petersen,Attacker,17,26,22,0.2,1.5,86,98,80,27,89,5,350,90,3
567,Antonio Snyder,Attacker,36,56,9,0.2,1.0,86,73,52,35,89,5,200,145,3
568,Jeffrey Kelley,Attacker,29,26,15,0.5,1.2,51,43,80,89,26,5,500,102,1
569,John Lamb,Attacker,20,32,13,1.0,1.5,24,73,55,27,26,5,250,149,0
570,Jacob Ross,Attacker,22,39,12,1.2,1.3,92,98,36,27,42,27,200,102,3
571,Nathan Young,Attacker,19,42,12,1.3,1.0,24,39,80,52,86,15,200,155,2
572,Hector Saunders,Attacker,34,32,22,0.5,1.5,86,68,30,89,92,5,200,145,1
573,Robert Glenn,Attacker,17,32,5,1.3,0.8,86,59,98,35,26,14,350,155,0
574,Kenneth Price,Attacker,29,56,18,0.5,0.5,36,59,30,40,89,14,200,90,2
575,John Sanchez,Attacker,29,39,9,0.5,0.8,24,32,52,89,26,8,300,155,1
576,Mark Erickson,Attacker,29,26,13,0.2,1.5,50,73,55,27,42,12,450,149,0
577,Jonathan Woods,Attacker,19,58,5,1.0,1.5,86,98,98,27,86,5,200,90,3
578,Ian Flynn,Attacker,19,32,9,1.2,1.2,64,98,48,89,92,21,300,150,1
579,Nicholas Hayes,Attacker,20,39,12,1.5,1.2,86,68,52,89,48,14,450,102,1
580,Rodney Blackburn,Attacker,34,32,9,0.2,2.0,86,68,98,27,86,27,400,145,3
581,John Griffin,Attacker,22,39,18,1.3,0.5,36,98,48,89,60,14,300,140,1
582,Donald Watkins,Attacker,22,39,15,1.3,1.5,36,59,48,35,42,8,500,140,0
583,Aaron Peterson,Attacker,32,49,5,0.5,0.5,36,68,98,96,92,27,200,150,1
584,Julian Phillips,Attacker,19,42,9,1.5,2.0,51,73,55,52,86,14,200,150,2
585,Mark Fowler,Attacker,27,26,9,1.2,0.5,36,39,48,89,42,14,200,149,1
